Athlete,Country
Patricia Miranda,United States
Aleksey Mishin,Russia
Roberto Monz¢n,Cuba
Masoud Moustafa Gokar,Iran
Mun Ui-Je,South Korea
Makhach Murtazaliyev,Russia
F?rid M?nsurov,Azerbaijan
Armen Nazaryan,Bulgaria
Ramaz Nozadze,Georgia
Mehmet ôzal,Turkey
Aydin Polatái,Turkey
Yandro Quintana,Cuba
Ali Reza Rezaei,Iran
Varteres Samurgashev,Russia
Cael Sanderson,United States
Sazhid Sazhidov,Russia
Chikara Tanabe,Japan
Elbrus Tedieiev,Ukraine
Georgy Tsurtsumia,Kazakhstan
Wang Xu,China
Marko Yli-Hannuksela,Finland
Namiq Abdullayev,Azerbaijan
Filiberto Azcuy,Cuba
S†ndor Istv†n B†rdosi,Hungary
Serafim Barzakov,Bulgaria
Islam Bayramukov,Kazakhstan
Adem Bereket,Turkey
Terry Brands,United States
Yevhen Buslovych,Ukraine
Ak'ak'i Chachua,Georgia
Ali Reza Dabir,Iran
Dmitry Debelka,Belarus
Arsen Gitinov,Russia
Aleksey Glushkov,Russia
Sammie Henson,United States
Mogamed Ibragimov,Macedonia
Daniel Igali,Canada
Jang Jae-Seong,South Korea
Eldar K'urt'anidze,Georgia
Kang Yong-Gyun,North Korea
Amiran Kardanov,Greece
Murat Kardanov,Russia
Aleksandr Karelin,Russia
Kim In-Seop,South Korea
Matt Lindland,United States
Mikael Ljungberg,Sweden
Garrett Lowney,United States
Juan Luis MarÇn,Cuba
Lincoln McIlravy,United States
Sagid Murtazaliyev,Russia
David Musulbes,Russia
Katsuhiko Nagata,Japan
L†zaro Rivas,Cuba
Alexis Rodr°guez,Cuba
Yoel Romero,Cuba
David Saldadze,Ukraine
Adam Saytiyev,Russia
Sheng Zetian,China
Sim Gwon-Ho,South Korea
Brandon Slay,United States
Murad Umakhanov,Russia
Mukhran Vakht'angadze,Georgia
Hamza Yerlikaya,Turkey
Ruslan Albegov,Russia
Sajjad Anoushiravani,Iran
Apti Aukhadov,Russia
Bartlomiej Bonk,Poland
Iv†n Cambar,Cuba
Zulfiya Chinshanlo,Kazakhstan
Anatolii Cåråcu,Moldova
Roxana Cocos,Romania
Oscar Figueroa,Colombia
Christine Girard,Canada
Hsu Shu-Ching,Chinese Taipei
Ilya Ilyin,Kazakhstan
Cristina Iovu,Moldova
Eko Irawan,Indonesia
Aleksandr Ivanov,Russia
Yuliya Kalina,Ukraine
Tatyana Kashirina,Russia
Hripsime Khurshudyan,Armenia
Kim Un-Guk,North Korea
Irina Kulesha,Belarus
Li Xueying,China
Lin Qingfeng,China
Lu Haojie,China
Lu Xiaojun,China
Maiya Maneza,Kazakhstan
Razvan Martin,Romania
Hiromi Miyake,Japan
Navab Nasirshelal,Iran
Om Yun-Chol,North Korea
Svetlana Podobedova,Kazakhstan
Rim Jong-Sim,North Korea
Kianoush Rostami,Iran
Ryang Chun-Hwa,North Korea
Behdad Salimi,Iran
Marina Shkermankova,Belarus
Pimsiri Sirikaew,Thailand
Oleksiy Torokhtiy,Ukraine
Triyatno,Indonesia
Svetlana Tsarukayeva,Russia
Wang Mingjuan,China
Wu Jingbiao,China
Valentin Xristov,Azerbaijan
Nataliya Zabolotnaya,Russia
Zhou Lulu,China
Adrian Zielinski,Poland
Khadzhimurat Akkayev,Russia
Andrey Aryamnov,Belarus
Cao Lei,China
Chen Wei-Ling,Chinese Taipei
Chen Xiexia,China
Chen Yanqing,China
Yevgeny Chigishev,Russia
Vencelas Dabaya,France
Gevorg Davtyan,Armenia
Nataliya Davydova,Ukraine
Mariya Grabovetskaya,Kazakhstan
HoÖng Anh Tu?n,Vietnam
Jang Mi-Ran,South Korea
Prapawadee Jaroenrattanatarakoon,Thailand
Dmitry Klokov,Russia
Olha Korobka,Ukraine
Szymon Kolecki,Poland
Dmitry Lapikov,Russia
Li Hongli,China
Liao Hui,China
Liu Chunhong,China
Long Qingquan,China
Lu Ying-Chi,Chinese Taipei
Lu Yong,China
Tigran G. Martirosyan,Armenia
Tigran V. Martirosyan,Armenia
Irina Nekrasova,Kazakhstan
Anastasiya Novikova,Belarus
O Jong-Ae,North Korea
Sibel ôzkan,Turkey
Pak Hyon-Suk,North Korea
Andrey Rybakov,Belarus
Sa Jae-Hyeok,South Korea
Diego Fernando Salazar,Colombia
Viktors ?cerbatihs,Latvia
Marina Shainova,Russia
Oksana Slivenko,Russia
Matthias Steiner,Germany
Alla Vazhenina,Kazakhstan
Nadezhda Yevstyukhina,Russia
Yoon Jin-Hee,South Korea
Zhang Xiangxiang,China
Sedat Artuá,Turkey
Giorgi Asanidze,Georgia
Anna Batyushko,Belarus
Dmitry Berestov,Russia
Veliáko Äolakov,Bulgaria
Pyrros Dimas,Greece
Milen Dobrev,Bulgaria
Sergey Filimonov,Kazakhstan
Wandee Kameaim,Thailand
Zarema Kasayeva,Russia
Eszter Krutzler,Hungary
Le Maosheng,China
Lee Bae-Yeong,South Korea
Li Zhuo,China
Mabel Mosquera,Colombia
Halil Mutlu,Turkey
Oleg Perepechonov,Russia
Nikolay Peshalov,Croatia
Gleb Pisarevsky,Russia
Udomporn Polsak,Thailand
Valentina Popova,Russia
Ihor Razoronov,Ukraine
Hossein Reza Zadeh,Iran
Ri Song-Hui,North Korea
Israel JosÇ Rubio,Venezuela
Raema Lisa Rumbewas,Indonesia
Taner Sagir,Turkey
Shi Zhiyong,China
Nataliya Skakun,Ukraine
Tatyana Stukalova,Belarus
Tang Gonghong,China
Nurcan Taylan,Turkey
Pawina Thongsuk,Thailand
Eduard Tyukin,Russia
Aree Wiratthaworn,Thailand
Agata Wr¢bel,Poland
Wu Meijin,China
Zhang Guozheng,China
Galabin Boevski,Bulgaria
Andrey Chemerkin,Russia
Chen Xiaomin,China
Ding Meiyuan,China
Cheryl Haworth,United States
Marc Huster,Germany
Sri Indriyani,Indonesia
Soraya JimÇnez,Mexico
Akakios Kakiasvili,Greece
Ioanna Khatziioannou,Greece
Kuo Yi-Hang,Chinese Taipei
Sergey Lavrenov,Belarus
